story_id,area,feature,user_story,entrypoint_or_artifact,expected_behavior,current_status,automation_coverage,issue_type,notes
FPZ-001,CLI,Upload command discovery,"As an operator, I can discover that `upload` is a supported command from the CLI parser.","skills/p2p-transfer-filepizza/scripts/filepizza_public.py:build_parser","The CLI exposes an `upload` subcommand with a required file argument and returns JSON on success.",Verified by tests,Unit covered,,Covered by `test_build_parser_accepts_all_supported_commands` and `test_main_dispatches_upload_command`.
FPZ-002,CLI,Status command discovery,"As an operator, I can inspect one known upload by ID through a dedicated `status` command.","skills/p2p-transfer-filepizza/scripts/filepizza_public.py:build_parser","The CLI exposes a `status <upload_id>` subcommand and returns normalized JSON for that upload.",Verified by tests,Unit covered,,Covered by `test_build_parser_accepts_all_supported_commands` and `test_main_dispatches_status_and_stop_commands`.
FPZ-003,CLI,Stop command discovery,"As an operator, I can stop one known upload by ID through a dedicated `stop` command.","skills/p2p-transfer-filepizza/scripts/filepizza_public.py:build_parser","The CLI exposes a `stop <upload_id>` subcommand and returns normalized JSON for that upload.",Verified by tests,Unit covered,,Covered by `test_build_parser_accepts_all_supported_commands` and `test_main_dispatches_status_and_stop_commands`.
FPZ-004,CLI,List command discovery,"As an operator, I can list known uploads through a dedicated `list` command.","skills/p2p-transfer-filepizza/scripts/filepizza_public.py:build_parser","The CLI exposes a `list` subcommand and returns `{""ok"": true, ""uploads"": [...]}`.",Verified by tests,Unit covered,,Covered by `test_build_parser_accepts_all_supported_commands` and `test_main_list_command_prints_json`.
FPZ-005,Runtime,Local dependency requirement checks,"As an operator, I get a clear failure if required local binaries are missing.","skills/p2p-transfer-filepizza/scripts/filepizza_public.py:require_binary","Missing `node` or `npm` raises a runtime error naming the missing binary.",Verified by tests,Unit covered,,Covered by `test_require_binary_raises_clear_error` and `test_ensure_runtime_requires_node_and_npm`.
FPZ-006,Adapter,Camel-case manifest normalization,"As an operator, I receive Python-wrapper JSON with stable snake_case keys even though the npm CLI returns camelCase.","skills/p2p-transfer-filepizza/scripts/filepizza_public.py:normalize_manifest","`uploadId`, `filePath`, and nested camelCase keys are normalized to snake_case, with `id` and `file` aliases added for convenience.",Verified by tests,Unit covered,,Covered by `test_normalize_manifest_converts_camel_case_keys`.
FPZ-007,Upload,Missing local file handling,"As an operator, I get a clear error if I try to upload a path that does not exist or is not a file.","skills/p2p-transfer-filepizza/scripts/filepizza_public.py:start_upload","The wrapper resolves the path and raises `Local file not found: ...` before invoking the npm CLI.",Verified by tests,Unit covered,,Covered by `test_start_upload_rejects_missing_file`.
FPZ-008,Runtime,Install-free npm delegation,"As an operator, I can use the skill without preinstalling a separate package globally.","skills/p2p-transfer-filepizza/scripts/filepizza_public.py:run_filepizza_cli","The wrapper shells out to `npx --yes filepizza-cli@0.1.0 ...` by default.",Verified by tests,Unit covered,,Covered by `test_run_filepizza_cli_invokes_npx_and_parses_json`.
FPZ-009,Runtime,Upstream failure propagation,"As an operator, npm CLI failures surface as clear wrapper errors.","skills/p2p-transfer-filepizza/scripts/filepizza_public.py:run_filepizza_cli","A non-zero `npx` exit raises a `RuntimeError` using stderr, stdout, or a fallback exit-code message.",Verified by tests,Unit covered,,Covered by `test_run_filepizza_cli_raises_with_stderr_on_failure`.
FPZ-010,Upload,Share command delegation,"As an operator, starting an upload returns the normalized JSON contract from the npm CLI.","skills/p2p-transfer-filepizza/scripts/filepizza_public.py:start_upload","The wrapper delegates to `share`, then returns normalized JSON including `upload_id`, `file`, and share URLs.",Verified by tests,Unit covered,,Covered by `test_start_upload_delegates_to_filepizza_cli`.
FPZ-011,State,Dead seeder status downgrade,"As an operator, stale uploads stop presenting themselves as active once the recorded pid is gone.","skills/p2p-transfer-filepizza/scripts/filepizza_public.py:materialize_manifest_status","If the manifest says `seeding` but the pid is no longer alive, status is downgraded to `stopped` and `alive` is false.",Verified by tests,Unit covered,,Covered by `test_materialize_manifest_status_marks_dead_seeders_stopped`.
FPZ-012,Inspection,Unknown upload error,"As an operator, I get a clear error if I ask for a missing upload by ID.","skills/p2p-transfer-filepizza/scripts/filepizza_public.py:load_manifest","Loading an unknown cached manifest fails with `Unknown upload_id: <id>`.",Verified by tests,Unit covered,,Covered by `test_load_manifest_raises_for_unknown_upload`.
FPZ-013,Inspection,Upload listing,"As an operator, I can list cached uploads from the npm CLI state directory and see liveness information.","skills/p2p-transfer-filepizza/scripts/filepizza_public.py:list_uploads","The list command scans `~/.cache/filepizza-cli/uploads/*.json`, sorts newest first, normalizes payload keys, and adds `alive` status.",Verified by tests,Unit covered,,Covered by `test_list_uploads_reads_filepizza_cli_manifests`.
FPZ-014,Inspection,Status delegation,"As an operator, I can inspect one upload through the upstream CLI without reading cache files directly.","skills/p2p-transfer-filepizza/scripts/filepizza_public.py:status_upload","The wrapper delegates to `filepizza-cli status <upload_id>` and normalizes the JSON result.",Verified by tests,Unit covered,,Covered by `test_status_and_stop_delegate_to_filepizza_cli`.
FPZ-015,Stop,Stop delegation,"As an operator, I can stop one upload through the upstream CLI without managing processes manually.","skills/p2p-transfer-filepizza/scripts/filepizza_public.py:stop_upload","The wrapper delegates to `filepizza-cli stop <upload_id>` and normalizes the JSON result.",Verified by tests,Unit covered,,Covered by `test_status_and_stop_delegate_to_filepizza_cli`.
FPZ-016,CLI,Top-level success contract,"As an operator, successful commands print machine-readable JSON and exit 0.","skills/p2p-transfer-filepizza/scripts/filepizza_public.py:main","Each supported command serializes its result as JSON to stdout and returns exit code 0.",Verified by tests,Unit covered,,Covered by `test_main_dispatches_upload_command`, `test_main_dispatches_status_and_stop_commands`, and `test_main_list_command_prints_json`.
FPZ-017,Implementation,Programmatic FilePizza adapter,"As an agent operator, I use a programmatic upload command and do not interact with the `file.pizza` UI directly.","skills/p2p-transfer-filepizza/scripts/filepizza_public.py","The skill uses the local Python wrapper plus the published `filepizza-cli` npm package; the upstream CLI is designed to seed FilePizza without driving a browser.",Reviewed,Manual smoke plus upstream repo review,Implementation dependency,Confirmed against `/Users/breno/Documents/code/PROJECTS/filepizza-cli/README.md` and live end-to-end smoke tests before this PR update.
FPZ-018,Docs,Default workflow guidance,"As an agent operator, I can follow one primary workflow for upload, list/status, stop, troubleshooting, and threat-model escalation.","skills/p2p-transfer-filepizza/SKILL.md","`SKILL.md` covers upload, inspection, stop, troubleshooting escalation, and when to consult trust assumptions.",Reviewed,Doc only,,Updated for the npm-backed wrapper.
